Sample.ID No.ORFs Average_length_bp No_complete_ORFs Percent_complete_ORFs No_fragmental_ORFs Percent_fragmental_ORFs 
MH0001 26,953 642 9,628 35.72 17,325 64.28 
O2.UC-4 110,442 653 44,431 40.23 66,011 59.77 
V1.CD-1 66,424 713 29,247 44.03 37,177 55.97 
V1.CD-11 103,511 700 50,067 48.37 53,444 51.63 
V1.CD-12 76,160 671 29,483 38.71 46,677 61.29 
V1.CD-13 131,976 661 53,521 40.55 78,455 59.45 
V1.CD-14 152,955 662 59,530 38.92 93,425 61.08 
V1.CD-15 67,076 728 30,003 44.73 37,073 55.27 
V1.CD-2 24,797 347 7,562 30.50 17,235 69.50 
V1.CD-3 98,039 664 37,143 37.89 60,896 62.11 
V1.CD-4 132,437 665 51,773 39.09 80,664 60.91 
V1.CD-6 101,507 656 37,491 36.93 64,016 63.07 
V1.CD-8 154,183 659 59,856 38.82 94,327 61.18 
V1.CD-9 121,137 709 57,170 47.19 63,967 52.81 
V1.UC-10 145,180 679 58,711 40.44 86,469 59.56 
V1.UC-13 114,043 720 48,733 42.73 65,310 57.27 
V1.UC-14 128,427 665 54,155 42.17 74,272 57.83 
V1.UC-15 129,972 693 56,686 43.61 73,286 56.39 
V1.UC-17 102,865 668 40,669 39.54 62,196 60.46 
V1.UC-18 117,084 697 49,826 42.56 67,258 57.44 
V1.UC-19 143,362 689 63,221 44.10 80,141 55.90 
V1.UC-21 116,580 669 47,051 40.36 69,529 59.64 
V1.UC-6 168,200 648 58,195 34.60 110,005 65.40 
V1.UC-7 68,798 725 28,091 40.83 40,707 59.17 
V1.UC-8 159,651 660 64,601 40.46 95,050 59.54 
V1.UC-9 136,210 634 49,492 36.34 86,718 63.66
