ref	start	stop	domain	dScore	rDomain	dMatch	phylum	pScore	rPhylum	pMatch	class	cScore	rClass	cMatch	order	oScore	rOrder	oMatch	family	fScore	rFamily	fMatch	genus	gScore	rGenus	gMatch
922346	445	519	Bacteria	1.0	Bacteria	1	Firmicutes	1.0	Firmicutes	1	Bacilli	0.98	Bacilli	1	Bacillales	0.97	Gemellales	0	Bacillales_Incertae Sedis XI	0.97	Gemellales	0	Gemella	0.97	Gemellaceae	0
4301286	741	815	Bacteria	1.0	Bacteria	1	Proteobacteria	1.0	Proteobacteria	1	Betaproteobacteria	0.94	Betaproteobacteria	1	Burkholderiales	0.94	Burkholderiales	1	Comamonadaceae	0.83	Burkholderiales	0	Acidovorax	0.21	Comamonadaceae	0
2686586	1059	1133	Bacteria	1.0	Bacteria	1	Bacteroidetes	0.98	Bacteroidetes	1	Bacteroidia	0.98	Bacteroidia	1	Bacteroidales	0.98	Bacteroidales	1	Bacteroidaceae	0.75	Bacteroidales	0	Bacteroides	0.75	Bacteroidaceae	0
2140524	542	616	Bacteria	0.99	Bacteria	1	Proteobacteria	0.65	Actinobacteria	0	Gammaproteobacteria	0.47	Acidimicrobiia	0	Gammaproteobacteria_incertae_sedis	0.1	Acidimicrobiales	0	Thioprofundum	0.08	Acidimicrobiales	0	Thioprofundum	0.08	wb1_P06	0
635930	590	664	Bacteria	1.0	Bacteria	1	Proteobacteria	1.0	Proteobacteria	1	Betaproteobacteria	1.0	Betaproteobacteria	1	Burkholderiales	0.99	Burkholderiales	1	Burkholderiaceae	0.88	Burkholderiales	0	Ralstonia	0.86	Oxalobacteraceae	0
766162	1145	1219	Bacteria	1.0	Bacteria	1	Firmicutes	0.82	Firmicutes	1	Bacilli	0.26	Clostridia	0	Bacillales	0.23	Clostridiales	0	Thermoactinomycetaceae 1	0.19	Clostridiales	0	Shimazuella	0.19	Christensenellaceae	0
666473	970	1044	Bacteria	1.0	Bacteria	1	Firmicutes	0.99	Firmicutes	1	Bacilli	0.99	Bacilli	1	Bacillales	0.97	Bacillales	1	Bacillaceae 2	0.68	Bacillales	0	Sediminibacillus	0.67	Staphylococcaceae	0
423594	166	240	Bacteria	1.0	Bacteria	1	Actinobacteria	1.0	Firmicutes	0	Actinobacteria	1.0	Bacilli	0	Actinomycetales	1.0	Bacillales	0	Corynebacteriaceae	0.79	Bacillales	0	Corynebacterium	0.79	Bacillaceae	0
554748	986	1060	Bacteria	1.0	Bacteria	1	Proteobacteria	0.99	Proteobacteria	1	Alphaproteobacteria	0.99	Alphaproteobacteria	1	Rhizobiales	0.98	Rhizobiales	1	Phyllobacteriaceae	0.54	Rhizobiales	0	Phyllobacterium	0.5	Phyllobacteriaceae	0
332274	886	960	Bacteria	1.0	Bacteria	1	Proteobacteria	1.0	Spirochaetes	0	Betaproteobacteria	1.0	Spirochaetes	0	Burkholderiales	0.98	Spirochaetales	0	Burkholderiaceae	0.98	Spirochaetales	0	Cupriavidus	0.61	Spirochaetaceae	0
641855	972	1046	Bacteria	0.99	Bacteria	1	Actinobacteria	0.95	Actinobacteria	1	Actinobacteria	0.95	Actinobacteria	1	Actinomycetales	0.94	Actinomycetales	1	Actinomycetaceae	0.88	Actinomycetales	0	Actinomyces	0.88	Actinomycetaceae	0
442414	1150	1224	Bacteria	0.99	Bacteria	1	Actinobacteria	0.85	Planctomycetes	0	Actinobacteria	0.85	Phycisphaerae	0	Actinomycetales	0.76	AKAU3564	0	Pseudonocardiaceae	0.22	AKAU3564	0	Sciscionella	0.09	NA	NA	729883	1268	1342	Bacteria	1.0	Bacteria	1	Proteobacteria	0.78	Proteobacteria	1	Gammaproteobacteria	0.63	Betaproteobacteria	0	Acidithiobacillales	0.49	Burkholderiales	0	Acidithiobacillaceae	0.49	Burkholderiales	0	Acidithiobacillus	0.49	Burkholderiaceae	0
1014306	334	408	Bacteria	1.0	Bacteria	1	Firmicutes	1.0	Firmicutes	1	Bacilli	0.99	Bacilli	1	Bacillales	0.98	Bacillales	1	Staphylococcaceae	0.93	Bacillales	0	Staphylococcus	0.93	Staphylococcaceae	0
794525	14	88	Bacteria	1.0	Bacteria	1	Firmicutes	1.0	Firmicutes	1	Bacilli	1.0	Bacilli	1	Bacillales	1.0	Bacillales	1	Staphylococcaceae	1.0	Bacillales	0	Staphylococcus	1.0	Staphylococcaceae	0
4454815	467	541	Bacteria	1.0	Bacteria	1	Proteobacteria	1.0	Proteobacteria	1	Betaproteobacteria	0.85	Betaproteobacteria	1	Burkholderiales	0.85	Burkholderiales	1	Oxalobacteraceae	0.58	Burkholderiales	0	Herbaspirillum	0.55	Comamonadaceae	0
4417260	669	743	Bacteria	1.0	Bacteria	1	Firmicutes	0.98	Firmicutes	1	Bacilli	0.98	Bacilli	1	Bacillales	0.98	Bacillales	1	Bacillaceae 1	0.55	Bacillales	0	Geobacillus	0.55	Bacillaceae	0
224266	191	265	Bacteria	1.0	Bacteria	1	Firmicutes	0.04	Planctomycetes	0	Bacilli	0.04	Planctomycetia	0	Bacillales	0.04	Pirellulales	0	Pasteuriaceae	0.04	Pirellulales	0	Pasteuria	0.04	Pirellulaceae	0
453349	244	318	Bacteria	1.0	Bacteria	1	Actinobacteria	0.96	Actinobacteria	1	Actinobacteria	0.96	Actinobacteria	1	Actinomycetales	0.84	Actinomycetales	1	Propionibacteriaceae	0.36	Actinomycetales	0	Propionibacterium	0.36	Propionibacteriaceae	0
978637	811	885	Bacteria	0.98	Bacteria	1	Proteobacteria	0.87	Proteobacteria	1	Gammaproteobacteria	0.64	Gammaproteobacteria	1	Enterobacteriales	0.55	Enterobacteriales	1	Enterobacteriaceae	0.55	Enterobacteriales	0	Leminorella	0.03	Enterobacteriaceae	0
630673	360	434	Bacteria	1.0	Bacteria	1	Firmicutes	1.0	Firmicutes	1	Bacilli	1.0	Bacilli	1	Lactobacillales	1.0	Lactobacillales	1	Streptococcaceae	0.93	Lactobacillales	0	Streptococcus	0.93	Streptococcaceae	0
381121	162	236	Bacteria	1.0	Bacteria	1	Proteobacteria	1.0	Proteobacteria	1	Betaproteobacteria	1.0	Betaproteobacteria	1	Burkholderiales	1.0	Burkholderiales	1	Comamonadaceae	1.0	Burkholderiales	0	Diaphorobacter	0.75	Comamonadaceae	0
583907	158	232	Bacteria	1.0	Bacteria	1	Proteobacteria	1.0	Proteobacteria	1	Gammaproteobacteria	0.99	Gammaproteobacteria	1	Alteromonadales	0.98	Alteromonadales	1	Colwelliaceae	0.97	Alteromonadales	0	Colwellia	0.97	Colwelliaceae	0
2633332	631	705	Bacteria	1.0	Bacteria	1	Proteobacteria	0.99	Proteobacteria	1	Gammaproteobacteria	0.99	Gammaproteobacteria	1	Oceanospirillales	0.93	Oceanospirillales	1	Halomonadaceae	0.91	Oceanospirillales	0	Halomonas	0.59	Halomonadaceae	0
572849	64	138	Bacteria	0.99	Bacteria	1	Proteobacteria	0.62	Proteobacteria	1	Gammaproteobacteria	0.53	Gammaproteobacteria	1	Methylococcales	0.17	Pseudomonadales	0	Methylococcaceae	0.17	Pseudomonadales	0	Methylococcus	0.11	Moraxellaceae	0
553843	59	133	Bacteria	0.98	Bacteria	1	Firmicutes	0.33	Proteobacteria	0	Clostridia	0.31	Alphaproteobacteria	0	Clostridiales	0.31	NA	NA	Peptococcaceae 1	0.19	NA	NA	Thermincola	0.17	NA	NA	1142627	378	452	Bacteria	1.0	Bacteria	1	Actinobacteria	1.0	Actinobacteria	1	Actinobacteria	1.0	Actinobacteria	1	Actinomycetales	1.0	Actinomycetales	1	Streptomycetaceae	0.86	Actinomycetales	0	Streptomyces	0.86	Streptomycetaceae	0
3468515	744	818	Bacteria	0.99	Bacteria	1	Bacteroidetes	0.53	Bacteroidetes	1	Sphingobacteria	0.31	Bacteroidia	0	Sphingobacteriales	0.31	Bacteroidales	0	Flammeovirgaceae	0.21	Bacteroidales	0	Reichenbachiella	0.2	NA	NA	553925	111	185	Bacteria	1.0	Bacteria	1	Proteobacteria	0.76	NKB19	0	Epsilonproteobacteria	0.22	TSBW08	0	Nautiliales	0.22	NA	NA	Nautiliaceae	0.22	NA	NA	Nitratifractor	0.22	NA	NA	4402641	649	723	Bacteria	1.0	Bacteria	1	Proteobacteria	0.99	Proteobacteria	1	Gammaproteobacteria	0.99	Gammaproteobacteria	1	Oceanospirillales	0.99	Oceanospirillales	1	Halomonadaceae	0.99	Oceanospirillales	0	Halomonas	0.99	Halomonadaceae	0
966188	574	648	Bacteria	0.97	Bacteria	1	Firmicutes	0.9	Firmicutes	1	Bacilli	0.85	Bacilli	1	Lactobacillales	0.85	Lactobacillales	1	Streptococcaceae	0.85	Lactobacillales	0	Streptococcus	0.85	Streptococcaceae	0
343032	202	276	Bacteria	0.96	Bacteria	1	Proteobacteria	0.28	Bacteroidetes	0	Alphaproteobacteria	0.27	Bacteroidia	0	Rhodospirillales	0.27	Bacteroidales	0	Acetobacteraceae	0.27	Bacteroidales	0	Craurococcus	0.26	S24-7	0
1079228	797	871	Bacteria	1.0	Bacteria	1	Firmicutes	1.0	Firmicutes	1	Bacilli	1.0	Bacilli	1	Lactobacillales	0.94	Lactobacillales	1	Enterococcaceae	0.94	Lactobacillales	0	Vagococcus	0.26	Carnobacteriaceae	0
675941	504	578	Bacteria	1.0	Bacteria	1	Firmicutes	0.98	Firmicutes	1	Bacilli	0.98	Bacilli	1	Bacillales	0.98	Bacillales	1	Staphylococcaceae	0.97	Bacillales	0	Staphylococcus	0.97	Staphylococcaceae	0
4384077	1064	1138	Bacteria	1.0	Bacteria	1	Bacteroidetes	0.99	Bacteroidetes	1	Flavobacteria	0.99	Flavobacteriia	0	Flavobacteriales	0.99	Flavobacteriales	1	Flavobacteriaceae	0.99	Flavobacteriales	0	Joostella	0.7	Flavobacteriaceae	0
4480	688	762	Bacteria	1.0	Bacteria	1	Proteobacteria	0.99	Bacteroidetes	0	Alphaproteobacteria	0.93	Flavobacteriia	0	Rhodospirillales	0.93	Flavobacteriales	0	Acetobacteraceae	0.93	Flavobacteriales	0	Acidiphilium	0.26	Flavobacteriaceae	0
345940	254	328	Bacteria	1.0	Bacteria	1	Firmicutes	0.9	Firmicutes	1	Clostridia	0.89	Clostridia	1	Thermoanaerobacterales	0.89	Thermoanaerobacterales	1	Thermodesulfobiaceae	0.89	Thermoanaerobacterales	0	Coprothermobacter	0.89	Thermodesulfobiaceae	0
877679	120	194	Bacteria	0.96	Bacteria	1	Firmicutes	0.44	Bacteroidetes	0	Clostridia	0.43	Bacteroidia	0	Clostridiales	0.41	Bacteroidales	0	Clostridiaceae 1	0.09	Bacteroidales	0	Anaerobacter	0.09	[Paraprevotellaceae]	0
4381480	511	585	Bacteria	1.0	Bacteria	1	Firmicutes	0.94	Firmicutes	1	Clostridia	0.94	Clostridia	1	Clostridiales	0.89	Clostridiales	1	Peptostreptococcaceae	0.77	Clostridiales	0	Filifactor	0.77	Peptostreptococcaceae	0
295444	39	113	Bacteria	0.98	Bacteria	1	Firmicutes	0.52	Firmicutes	1	Clostridia	0.51	Clostridia	1	Clostridiales	0.5	Clostridiales	1	Lachnospiraceae	0.35	Clostridiales	0	Roseburia	0.2	Lachnospiraceae	0
436108	916	990	Bacteria	1.0	Bacteria	1	Proteobacteria	1.0	Firmicutes	0	Betaproteobacteria	0.99	Bacilli	0	Burkholderiales	0.99	Gemellales	0	Comamonadaceae	0.99	Gemellales	0	Delftia	0.68	Gemellaceae	0
536961	1220	1294	Bacteria	1.0	Bacteria	1	Proteobacteria	1.0	Proteobacteria	1	Gammaproteobacteria	1.0	Gammaproteobacteria	1	Enterobacteriales	1.0	Enterobacteriales	1	Enterobacteriaceae	1.0	Enterobacteriales	0	Citrobacter	0.59	Enterobacteriaceae	0
382115	235	309	Bacteria	1.0	Bacteria	1	Proteobacteria	0.99	Cyanobacteria	0	Alphaproteobacteria	0.88	Synechococcophycideae	0	Rickettsiales	0.68	Pseudanabaenales	0	Rickettsiaceae	0.68	Pseudanabaenales	0	Rickettsia	0.68	Pseudanabaenaceae	0
937877	786	860	Bacteria	1.0	Bacteria	1	Firmicutes	1.0	Firmicutes	1	Bacilli	1.0	Bacilli	1	Bacillales	1.0	Bacillales	1	Staphylococcaceae	1.0	Bacillales	0	Staphylococcus	1.0	Staphylococcaceae	0
1017695	134	208	Bacteria	1.0	Bacteria	1	Firmicutes	1.0	Firmicutes	1	Bacilli	1.0	Bacilli	1	Lactobacillales	1.0	Lactobacillales	1	Streptococcaceae	1.0	Lactobacillales	0	Streptococcus	1.0	Streptococcaceae	0
2134058	544	618	Bacteria	0.94	Archaea	0	Proteobacteria	0.37	Crenarchaeota	0	Betaproteobacteria	0.2	Thaumarchaeota	0	Burkholderiales	0.16	Cenarchaeales	0	Comamonadaceae	0.06	Cenarchaeales	0	Caenimonas	0.04	Cenarchaeaceae	0
960523	1229	1303	Bacteria	1.0	Bacteria	1	Firmicutes	0.99	Firmicutes	1	Bacilli	0.99	Bacilli	1	Lactobacillales	0.98	Lactobacillales	1	Streptococcaceae	0.98	Lactobacillales	0	Streptococcus	0.98	Streptococcaceae	0
122103	575	649	Bacteria	1.0	Bacteria	1	Firmicutes	0.97	Proteobacteria	0	Clostridia	0.97	Gammaproteobacteria	0	Clostridiales	0.97	Xanthomonadales	0	Ruminococcaceae	0.97	Xanthomonadales	0	Faecalibacterium	0.97	Xanthomonadaceae	0
309923	1266	1340	Bacteria	1.0	Bacteria	1	Bacteroidetes	1.0	Bacteroidetes	1	Bacteroidia	0.9	Bacteroidia	1	Bacteroidales	0.9	Bacteroidales	1	Porphyromonadaceae	0.61	Bacteroidales	0	Parabacteroides	0.35	NA	NA	142464	810	884	Archaea	1.0	Bacteria	0	Euryarchaeota	1.0	Bacteroidetes	0	Halobacteria	1.0	Cytophagia	0	Halobacteriales	1.0	Cytophagales	0	Halobacteriaceae	1.0	Cytophagales	0	Haloferax	0.63	Cytophagaceae	0
957373	80	154	Bacteria	1.0	Bacteria	1	Proteobacteria	1.0	Proteobacteria	1	Gammaproteobacteria	1.0	Gammaproteobacteria	1	Pasteurellales	0.99	Pasteurellales	1	Pasteurellaceae	0.99	Pasteurellales	0	Pasteurella	0.6	Pasteurellaceae	0
430056	1295	1369	Bacteria	1.0	Bacteria	1	Firmicutes	0.92	Firmicutes	1	Bacilli	0.92	Clostridia	0	Bacillales	0.92	Clostridiales	0	Staphylococcaceae	0.92	Clostridiales	0	Staphylococcus	0.92	Lachnospiraceae	0
3762590	446	520	Bacteria	1.0	Bacteria	1	Proteobacteria	0.98	Proteobacteria	1	Gammaproteobacteria	0.95	Gammaproteobacteria	1	Oceanospirillales	0.84	Oceanospirillales	1	Halomonadaceae	0.83	Oceanospirillales	0	Cobetia	0.72	Halomonadaceae	0
426543	1131	1205	Bacteria	1.0	Bacteria	1	Actinobacteria	1.0	Proteobacteria	0	Actinobacteria	1.0	Alphaproteobacteria	0	Actinomycetales	1.0	Rhizobiales	0	Nocardioidaceae	0.49	Rhizobiales	0	Nocardioides	0.48	NA	NA	921178	1280	1354	Bacteria	1.0	Bacteria	1	Firmicutes	1.0	Firmicutes	1	Bacilli	1.0	Bacilli	1	Bacillales	1.0	Bacillales	1	Staphylococcaceae	1.0	Bacillales	0	Staphylococcus	1.0	Staphylococcaceae	0
430203	1288	1362	Bacteria	1.0	Bacteria	1	Proteobacteria	0.97	Firmicutes	0	Gammaproteobacteria	0.9	Bacilli	0	Pseudomonadales	0.54	Lactobacillales	0	Pseudomonadaceae	0.52	Lactobacillales	0	Azotobacter	0.35	Streptococcaceae	0
1104836	683	757	Bacteria	1.0	Bacteria	1	Verrucomicrobia	0.95	Verrucomicrobia	1	Spartobacteria	0.95	[Spartobacteria]	0	Spartobacteria_genera_incertae_sedis	0.95	[Chthoniobacterales]	0	Spartobacteria_genera_incertae_sedis	0.95	[Chthoniobacterales]	0	Spartobacteria_genera_incertae_sedis	0.95	[Chthoniobacteraceae]	0
4433095	791	865	Bacteria	1.0	Bacteria	1	Bacteroidetes	1.0	Bacteroidetes	1	Sphingobacteria	1.0	Sphingobacteriia	0	Sphingobacteriales	1.0	Sphingobacteriales	1	Sphingobacteriaceae	1.0	Sphingobacteriales	0	Mucilaginibacter	1.0	Sphingobacteriaceae	0
4462507	1086	1160	Bacteria	1.0	Bacteria	1	Acidobacteria	0.91	Acidobacteria	1	Acidobacteria_Gp1	0.91	Acidobacteriia	0	Granulicella	0.39	Acidobacteriales	0	Granulicella	0.39	Acidobacteriales	0	Granulicella	0.39	Acidobacteriaceae	0
4444141	1118	1192	Bacteria	1.0	Bacteria	1	Bacteroidetes	0.87	Bacteroidetes	1	Sphingobacteria	0.28	Bacteroidia	0	Sphingobacteriales	0.28	Bacteroidales	0	Cytophagaceae	0.28	Bacteroidales	0	Meniscus	0.28	SB-1	0
4328424	28	102	Bacteria	1.0	Bacteria	1	Firmicutes	0.96	Firmicutes	1	Clostridia	0.91	Clostridia	1	Clostridiales	0.91	Clostridiales	1	Lachnospiraceae	0.87	Clostridiales	0	Clostridium XlVa	0.68	Lachnospiraceae	0
3546295	536	610	Bacteria	0.96	Bacteria	1	Deinococcus-Thermus	0.04	Lentisphaerae	0	Deinococci	0.04	[Lentisphaeria]	0	Thermales	0.04	Z20	0	Thermaceae	0.04	Z20	0	Marinithermus	0.04	NA	NA	3332704	669	743	Bacteria	1.0	Bacteria	1	Proteobacteria	1.0	Proteobacteria	1	Gammaproteobacteria	1.0	Gammaproteobacteria	1	Alteromonadales	0.9	Alteromonadales	1	Alteromonadaceae	0.9	Alteromonadales	0	Marinobacter	0.89	Alteromonadaceae	0
2555881	595	669	Bacteria	1.0	Bacteria	1	Firmicutes	0.99	Firmicutes	1	Clostridia	0.75	Clostridia	1	Clostridiales	0.74	Clostridiales	1	Clostridiaceae 1	0.67	Clostridiales	0	Clostridium sensu stricto	0.67	Clostridiaceae	0
3013462	847	921	Bacteria	1.0	Bacteria	1	Chloroflexi	0.66	Chloroflexi	1	Anaerolineae	0.5	Anaerolineae	1	Anaerolineales	0.5	OPB11	0	Anaerolineaceae	0.5	OPB11	0	Anaerolinea	0.5	NA	NA	999633	1146	1220	Bacteria	1.0	Bacteria	1	Firmicutes	0.98	Firmicutes	1	Bacilli	0.98	Bacilli	1	Bacillales	0.87	Bacillales	1	Staphylococcaceae	0.86	Bacillales	0	Staphylococcus	0.86	Staphylococcaceae	0
2830874	979	1053	Bacteria	1.0	Bacteria	1	Proteobacteria	0.68	Proteobacteria	1	Deltaproteobacteria	0.44	Deltaproteobacteria	1	Syntrophobacterales	0.38	Syntrophobacterales	1	Syntrophaceae	0.24	Syntrophobacterales	0	Desulfomonile	0.24	Syntrophaceae	0
729727	1261	1335	Bacteria	1.0	Bacteria	1	Proteobacteria	0.92	Proteobacteria	1	Betaproteobacteria	0.76	Betaproteobacteria	1	Burkholderiales	0.76	Burkholderiales	1	Comamonadaceae	0.64	Burkholderiales	0	Verminephrobacter	0.43	Comamonadaceae	0
626138	748	822	Bacteria	1.0	Bacteria	1	Firmicutes	0.98	Firmicutes	1	Bacilli	0.94	Bacilli	1	Lactobacillales	0.56	Lactobacillales	1	Carnobacteriaceae	0.49	Lactobacillales	0	Dolosigranulum	0.31	Aerococcaceae	0
1096068	690	764	Bacteria	1.0	Bacteria	1	Proteobacteria	0.99	Proteobacteria	1	Gammaproteobacteria	0.74	Gammaproteobacteria	1	Pseudomonadales	0.66	Pseudomonadales	1	Moraxellaceae	0.64	Pseudomonadales	0	Moraxella	0.61	Moraxellaceae	0
